1,วิทยาลัยปิโตรเลียมและปิโตรเคมี,Faculty Name Eng
2,วิทยาลัยประชากรศาสตร์,Faculty Name Eng
3,วิทยาลัยวิทยาศาสตร์สาธารณสุข,Faculty Name Eng
4,สถาบันบัณฑิตบริหารธุรกิจ ศศินทร์,Faculty Name Eng
5,สำนักวิชาทรัพยากรการเกษตร,Faculty Name Eng
6,วิทยาลัยพยาบาลสภากาชาดไทย,Faculty Name Eng
7,วิทยาลัยพยาบาลตำรวจ,Faculty Name Eng
8,บัณฑิตวิทยาลัย(สหสาขา),Faculty Name Eng
21,คณะวิศวกรรมศาสตร์,Faculty Name Eng
22,คณะอักษรศาสตร์,Faculty Name Eng
23,คณะวิทยาศาสตร์,Faculty Name Eng
24,คณะรัฐศาสตร์,Faculty Name Eng
25,คณะสถาปัตยกรรมศาสตร์,Faculty Name Eng
26,คณะพาณิชยศาสตร์และการบัญชี,Faculty Name Eng
27,คณะครุศาสตร์,Faculty Name Eng
28,คณะนิเทศศาสตร์,Faculty Name Eng
29,คณะเศรษฐศาสตร์,Faculty Name Eng
30,คณะแพทยศาสตร์,Faculty Name Eng
31,คณะสัตวแพทยศาสตร์,Faculty Name Eng
32,คณะทันตแพทยศาสตร์,Faculty Name Eng
33,คณะเภสัชศาสตร์,Faculty Name Eng
34,คณะนิติศาสตร์,Faculty Name Eng
35,คณะศิลปกรรมศาสตร์,Faculty Name Eng
36,คณะพยาบาลศาสตร์,Faculty Name Eng
37,คณะสหเวชศาสตร์,Faculty Name Eng
38,คณะจิตวิทยา,Faculty Name Eng
39,คณะวิทยาศาสตร์และการกีฬา,Faculty Name Eng
